run_id,source_step,phase,pair_id,condition_side,condition,workload_id,repetition,safety_enabled,attempt,duration_seconds,forecast_aligned_seconds,mae_rps,rmse_rps,bias_rps,transition_mae_rps,desired_replica_mae,desired_replica_bias,deficient_replica_seconds,excess_replica_seconds,ready_deficient_replica_seconds,scale_action_count,scale_up_action_count,scale_down_action_count,churn_magnitude_replicas,slo_violation_seconds,slo_violation_rate,slo_episode_count,maximum_slo_episode_seconds,latency_violation_seconds,failure_violation_seconds,completion_violation_seconds,request_count,request_p99_latency_ms,request_failure_count,request_failure_rate,mean_cpu_cores,max_cpu_cores,mean_readiness_delay_seconds,max_readiness_delay_seconds,readiness_delay_observations,pod_created_count,pod_ready_transition_count,ready_source,pod_event_source,normalized_kubernetes_record_coverage_ratio,kubernetes_snapshot_valid_ratio
final-p02-b-r02-s0,step15,primary,pair-02-duration,b,shortened_peak,sustained-peak-v1,2,False,1,360,354,2.9661016949152543,10.188893920442684,-2.9661016949152543,0.0,0.25,-0.25,90,0,18,4,1,3,6,32,0.08888888888888889,19,9,9,10,21,15300,1177.8811000000035,97,0.0063398692810457515,0.5357739990736317,0.8403766759805578,2.0,2,1,3,3,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,0.9916666666666667,1.0
final-p04-b-r02-s0,step15,primary,pair-04-location,b,transition_period_error,gradual-ramp-v1,2,False,1,480,474,1.0126582278481013,2.8462722678592804,1.0126582278481013,1.6,0.1375,0.1375,0,66,0,6,3,3,6,68,0.14166666666666666,63,2,0,0,68,19350,29.836649999999977,0,0.0,0.5172702109167407,0.8322062228526046,1.0,1,3,3,3,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,0.9791666666666666,1.0
final-oracle-ramp-r03-s0,step15,reference,reference-oracle,reference,oracle,gradual-ramp-v1,3,False,1,480,474,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,6,3,3,6,56,0.11666666666666667,54,2,0,0,56,19350,29.893399999999936,0,0.0,0.52221348073721,0.8363214094022902,1.0,1,3,3,3,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,0.9916666666666667,1.0
final-p06-a-r03-s0,step15,primary,pair-06-timing_periodic,a,early_event,periodic-triangle-v1,3,False,2,720,714,6.5294117815126045,7.361835586127132,0.0,7.653333353333332,0.4583333333333333,0.0,165,165,0,22,11,11,22,99,0.1375,97,2,0,0,99,28500,27.873229999999964,0,0.0,0.5061251681445362,0.7355850342341219,1.0,1,11,11,11,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,0.9972222222222222,1.0
final-p03-b-r03-s0,step15,primary,pair-03-event_presence,b,missed_peak,narrow-spike-v1,3,False,1,180,174,6.0344827586206895,14.532958974404494,-6.0344827586206895,17.5,1.0,-1.0,180,0,101,0,0,0,0,60,0.3333333333333333,15,36,35,33,30,5550,4215.051120000004,663,0.11945945945945946,0.30853244984085393,0.49256052758201013,,,0,0,0,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,0.9944444444444445,1.0
final-p07-b-r03-s0,step15,primary,pair-07-timing_spike,b,late_event,narrow-spike-v1,3,False,1,180,174,4.022988505747127,11.866111313364181,0.0,35.0,0.3333333333333333,0.0,30,30,20,4,1,3,6,30,0.16666666666666666,16,10,10,10,16,5550,2457.60818,93,0.016756756756756756,0.34918715281558543,0.6556718426108658,3.0,3,1,3,3,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,1.0,1.0
final-oracle-periodic-r03-s0,step15,reference,reference-oracle,reference,oracle,periodic-triangle-v1,3,False,1,720,714,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,22,11,11,22,97,0.13472222222222222,94,2,0,0,97,28500,30.00012999999998,0,0.0,0.5146950369669648,0.7386393390011389,1.2727272727272727,2,11,11,11,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,1.0,1.0
final-p02-a-r03-s0,step15,primary,pair-02-duration,a,extended_peak,sustained-peak-v1,3,False,1,360,354,2.9661016949152543,10.188893920442684,2.9661016949152543,17.5,0.25,0.25,0,90,0,4,1,3,6,21,0.058333333333333334,21,1,0,0,21,15300,32.81304,0,0.0,0.5410200724535484,0.8434110530714017,1.0,1,1,3,3,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,1.0,1.0
final-p07-a-r03-s0,step15,primary,pair-07-timing_spike,a,early_event,narrow-spike-v1,3,False,1,180,174,4.022988505747127,11.866111313364181,0.0,0.0,0.3333333333333333,0.0,30,30,0,4,1,3,6,8,0.044444444444444446,8,1,0,0,8,5550,28.095100000000023,0,0.0,0.3411201942162009,0.6721710795655509,1.0,1,1,3,3,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,0.9944444444444445,1.0
final-oracle-spike-r03-s0,step15,reference,reference-oracle,reference,oracle,narrow-spike-v1,3,False,1,180,174,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,4,1,3,6,8,0.044444444444444446,8,1,0,0,8,5550,31.31842000000001,0,0.0,0.3393006061073229,0.6333955588138851,2.0,2,1,3,3,normalized_kubernetes_snapshot,raw_kubernetes_snapshots,1.0,1.0
