baseline_replicas,cache_treatment,controller_decision_utc,decision_delay_ms,deployment_update_from_forecast_ms,directory,forecast_available_utc,increment,new_pod_count,poll_milliseconds,probe_attempts,repetition,run_id,scale_api_roundtrip_ms,scale_request_ack_utc,scale_request_sent_utc,schema_version,target_replicas,timeout_seconds,trial_effective_serving_delay_s,trial_readiness_delay_s,valid
1,cached-main,2026-08-03T18:53:08.0312983Z,1.1236000000000002,165.6705,step6\runs\cached-main-1to4-rep01-20260803-235259,2026-08-03T18:53:08.0301747Z,3,3,100,17,1,cached-main-1to4-rep01-20260803-235259,164.7431,2026-08-03T18:53:08.1958452Z,2026-08-03T18:53:08.0316792Z,1,4,60,6.5142325,2.20168,True
1,cached-main,2026-08-03T18:54:21.8285298Z,0,164.16660000000002,step6\runs\cached-main-1to4-rep02-20260803-235402,2026-08-03T18:54:21.8285298Z,3,3,100,9,2,cached-main-1to4-rep02-20260803-235402,163.9486,2026-08-03T18:54:21.9926964Z,2026-08-03T18:54:21.8285298Z,1,4,180,3.5381525000000003,2.8160444,True
1,cached-main,2026-08-03T18:55:08.1476762Z,0,163.9262,step6\runs\cached-main-1to4-rep03-20260803-235450,2026-08-03T18:55:08.1476762Z,3,3,100,15,3,cached-main-1to4-rep03-20260803-235450,163.91910000000001,2026-08-03T18:55:08.3116024Z,2026-08-03T18:55:08.1476762Z,1,4,180,6.829306100000001,2.8066678,True
1,cached-main,2026-08-03T18:57:10.9529630Z,0,148.62890000000002,step6\runs\cached-main-1to4-rep04-20260803-235652,2026-08-03T18:57:10.9529630Z,3,3,100,11,4,cached-main-1to4-rep04-20260803-235652,147.7906,2026-08-03T18:57:11.1015919Z,2026-08-03T18:57:10.9529630Z,1,4,180,3.9841569000000003,2.5959072,True
1,cached-main,2026-08-03T18:58:00.4226870Z,3.3494,147.1286,step6\runs\cached-main-1to4-rep05-20260803-235741,2026-08-03T18:58:00.4193376Z,3,3,100,13,5,cached-main-1to4-rep05-20260803-235741,143.3402,2026-08-03T18:58:00.5664662Z,2026-08-03T18:58:00.4232374Z,1,4,180,5.0566827000000005,1.7740618000000001,True
1,cached-main,2026-08-03T18:58:50.4357127Z,0.384,184.5654,step6\runs\cached-main-1to4-rep06-20260803-235832,2026-08-03T18:58:50.4353287Z,3,3,100,8,6,cached-main-1to4-rep06-20260803-235832,184.4383,2026-08-03T18:58:50.6198941Z,2026-08-03T18:58:50.4357127Z,1,4,180,3.6001686,2.4613789,True
1,cached-main,2026-08-03T19:00:49.9734417Z,0,139.2637,step6\runs\cached-main-1to4-rep07-20260804-000031,2026-08-03T19:00:49.9734417Z,3,3,100,12,7,cached-main-1to4-rep07-20260804-000031,139.2684,2026-08-03T19:00:50.1127054Z,2026-08-03T19:00:49.9734417Z,1,4,180,4.3367784,2.2954941,True
1,cached-main,2026-08-03T19:01:39.3103179Z,0.5366000000000001,138.1177,step6\runs\cached-main-1to4-rep08-20260804-000120,2026-08-03T19:01:39.3097813Z,3,3,100,11,8,cached-main-1to4-rep08-20260804-000120,137.3437,2026-08-03T19:01:39.4478990Z,2026-08-03T19:01:39.3103179Z,1,4,180,3.9934978,1.6404248,True
1,cached-main,2026-08-03T19:02:26.5958064Z,0,127.2992,step6\runs\cached-main-1to4-rep09-20260804-000207,2026-08-03T19:02:26.5958064Z,3,3,100,14,9,cached-main-1to4-rep09-20260804-000207,127.2286,2026-08-03T19:02:26.7231056Z,2026-08-03T19:02:26.5958064Z,1,4,180,4.8361551,1.4758499000000003,True
1,cached-main,2026-08-03T19:04:31.5523454Z,0,165.2852,step6\runs\cached-main-1to4-rep10-20260804-000413,2026-08-03T19:04:31.5523454Z,3,3,100,9,10,cached-main-1to4-rep10-20260804-000413,164.5946,2026-08-03T19:04:31.7176306Z,2026-08-03T19:04:31.5523454Z,1,4,180,4.2108001,2.0864953,True
