candidate_id,group,side,semantic,trace_id,mae_rps,rmse_rps,signed_bias_rps,maximum_absolute_error_rps,region_mae_rps,changed_decisions,peak_timing_error_s,peak_amplitude_error_rps,duration_error_s,parameters_json,forecast_path,forecast_sha256
gradual-ramp-v1__location__stable__duration_s-20-magnitude_rps-8-start_s-420,location,stable,stable_period_error,gradual-ramp-v1,0.333333333333,1.63299316186,0.333333333333,8,8,20,0,0,0,"{""duration_s"":20,""magnitude_rps"":8,""start_s"":420}",candidates/location/stable/gradual-ramp-v1__location__stable__duration_s-20-magnitude_rps-8-start_s-420.forecast.csv,ad1153378873f8bb7bb85b56cef38aa43bca0bc3145f776d13300509be46afe9
gradual-ramp-v1__location__transition__duration_s-20-magnitude_rps-8-start_s-60,location,transition,transition_period_error,gradual-ramp-v1,0.333333333333,1.63299316186,0.333333333333,8,8,20,0,0,0,"{""duration_s"":20,""magnitude_rps"":8,""start_s"":60}",candidates/location/transition/gradual-ramp-v1__location__transition__duration_s-20-magnitude_rps-8-start_s-60.forecast.csv,80114c0695c3cc6340794ce4ec7ff2e14ca555768fb7170da4f9f21a4c0863c7
gradual-ramp-v1__location__stable__duration_s-20-magnitude_rps-10-start_s-420,location,stable,stable_period_error,gradual-ramp-v1,0.416666666667,2.04124145232,0.416666666667,10,10,20,0,0,0,"{""duration_s"":20,""magnitude_rps"":10,""start_s"":420}",candidates/location/stable/gradual-ramp-v1__location__stable__duration_s-20-magnitude_rps-10-start_s-420.forecast.csv,b8cdb47812edac7fd4c208aa29fe8e8eef9282ed3a1d1d4633d0520962bc9671
gradual-ramp-v1__location__transition__duration_s-20-magnitude_rps-10-start_s-60,location,transition,transition_period_error,gradual-ramp-v1,0.416666666667,2.04124145232,0.416666666667,10,10,20,0,0,0,"{""duration_s"":20,""magnitude_rps"":10,""start_s"":60}",candidates/location/transition/gradual-ramp-v1__location__transition__duration_s-20-magnitude_rps-10-start_s-60.forecast.csv,42d98167483eaf72c2668b82116991e88c9f6f3fc69c9d3eef44cdca1c2c1cd5
gradual-ramp-v1__location__stable__duration_s-30-magnitude_rps-4-start_s-420,location,stable,stable_period_error,gradual-ramp-v1,0.25,1,0.25,4,4,30,0,0,0,"{""duration_s"":30,""magnitude_rps"":4,""start_s"":420}",candidates/location/stable/gradual-ramp-v1__location__stable__duration_s-30-magnitude_rps-4-start_s-420.forecast.csv,f43da09ff7d65051f2bcddda3eb17bb5f9e3c19bfb377f1478774e54def9a140
gradual-ramp-v1__location__transition__duration_s-30-magnitude_rps-4-start_s-60,location,transition,transition_period_error,gradual-ramp-v1,0.25,1,0.25,4,4,30,0,0,0,"{""duration_s"":30,""magnitude_rps"":4,""start_s"":60}",candidates/location/transition/gradual-ramp-v1__location__transition__duration_s-30-magnitude_rps-4-start_s-60.forecast.csv,d09f43147634068067881246343c7a6391751798c0fd03102547fff8555e8bf1
gradual-ramp-v1__location__stable__duration_s-30-magnitude_rps-6-start_s-420,location,stable,stable_period_error,gradual-ramp-v1,0.375,1.5,0.375,6,6,30,0,0,0,"{""duration_s"":30,""magnitude_rps"":6,""start_s"":420}",candidates/location/stable/gradual-ramp-v1__location__stable__duration_s-30-magnitude_rps-6-start_s-420.forecast.csv,7e55041b48183db089f16e200cd1c3a072d9e59e3e984f32f66c29e8bd9cd4e7
gradual-ramp-v1__location__transition__duration_s-30-magnitude_rps-6-start_s-60,location,transition,transition_period_error,gradual-ramp-v1,0.375,1.5,0.375,6,6,30,0,0,0,"{""duration_s"":30,""magnitude_rps"":6,""start_s"":60}",candidates/location/transition/gradual-ramp-v1__location__transition__duration_s-30-magnitude_rps-6-start_s-60.forecast.csv,50aa957461756455d1f63284628cc832e61246b6e03ed8d9f87c329335842798
gradual-ramp-v1__location__stable__duration_s-30-magnitude_rps-8-start_s-420,location,stable,stable_period_error,gradual-ramp-v1,0.5,2,0.5,8,8,30,0,0,0,"{""duration_s"":30,""magnitude_rps"":8,""start_s"":420}",candidates/location/stable/gradual-ramp-v1__location__stable__duration_s-30-magnitude_rps-8-start_s-420.forecast.csv,52c34bd51b7badd2f3cd3cc61126492a89df04e779bf092917902455f308d250
gradual-ramp-v1__location__transition__duration_s-30-magnitude_rps-8-start_s-60,location,transition,transition_period_error,gradual-ramp-v1,0.5,2,0.5,8,8,30,0,0,0,"{""duration_s"":30,""magnitude_rps"":8,""start_s"":60}",candidates/location/transition/gradual-ramp-v1__location__transition__duration_s-30-magnitude_rps-8-start_s-60.forecast.csv,144e27149e3358822ecb518021e5bd006d20e5c52bf401fdb42f7859748c9689
