run,replicas,target_rps,completed,errors,failure_rate,completion_ratio,achieved_rps,average_ms,p50_ms,p95_ms,p99_ms,max_pod_cpu,max_throttle_ratio,pod_count,imbalance_ratio,pass,reasons
multipod-n4-r01-20260802-224532,4,180,15725,5875,0.27199074074074076,0.7280092592592593,131.04166666666666,14.389916693163752,10.954,36.298,71.67,0.23541345685743362,0.24410774410774413,4,0.020349761526232114,False,"failures,throughput,throttling"
multipod-n4-r01-20260802-224532,4,198,15817,7943,0.3343013468013468,0.6656986531986532,131.80833333333334,20.403363912246316,11.703,64.987,117.863,0.271086084596597,0.3937592867756315,4,0.02756527786558766,False,"failures,throughput,throttling"
multipod-n4-r02-20260802-225625,4,162,15740,3700,0.19032921810699588,0.8096707818930041,131.16666666666666,11.960659021601016,10.783,16.914,40.765,0.24902203949924195,0.13064516129032258,4,0.040914866581956796,False,"failures,throughput,throttling"
multipod-n4-r02-20260802-225625,4,180,15772,5828,0.26981481481481484,0.7301851851851852,131.43333333333334,14.44213403499873,11.25,34.095,71.563,0.28026621968735765,0.2569230769230769,4,0.042099923915800155,False,"failures,throughput,throttling"
multipod-n4-r02-20260802-225625,4,198,15859,7901,0.33253367003367,0.6674663299663299,132.15833333333333,18.498478844819974,11.412,55.552,113.124,0.2640943762195564,0.41714285714285715,4,0.04439119742732833,False,"failures,throughput,throttling"
multipod-n4-r03-20260802-230716,4,162,15725,3715,0.1911008230452675,0.8088991769547325,131.04166666666666,12.003134626391097,10.835,16.835,42.778,0.25369082845346874,0.1401985111662531,4,0.038410174880763114,False,"failures,throughput,throttling"
multipod-n4-r03-20260802-230716,4,180,15808,5792,0.26814814814814814,0.7318518518518519,131.73333333333332,24.5239096659919,12.085,80.792,223.318,0.25731496497617395,0.4500907441016334,4,0.03643724696356275,False,"failures,throughput,throttling"
multipod-n4-r03-20260802-230716,4,198,15765,7995,0.336489898989899,0.663510101010101,131.375,19.383287789406914,11.445,60.769,110.24,0.2782282701163528,0.37764932562620424,4,0.013701236917221693,False,"failures,throughput,throttling"
multipod-adaptive-n4-r01-20260802-231854,4,110,13200,0,0.0,1.0,110.0,10.102313484848485,9.888,12.313,14.285,0.19080148533489308,0.016587677725118485,4,0.02484848484848485,True,
multipod-adaptive-n4-r01-20260802-231854,4,120,14400,0,0.0,1.0,120.0,10.576334722222223,10.127,12.707,19.154,0.22678742617529424,0.02973977695167286,4,0.021388888888888888,True,
multipod-adaptive-n4-r01-20260802-231854,4,130,15600,0,0.0,1.0,130.0,11.324743012820514,10.52,14.573,30.813,0.25780763324293965,0.05239179954441913,4,0.04384615384615385,True,
multipod-adaptive-n4-r02-20260802-232945,4,110,13200,0,0.0,1.0,110.0,9.199801969696969,9.054,10.873,13.194,0.18066302592065478,0.005730659025787966,4,0.045454545454545456,True,
multipod-adaptive-n4-r02-20260802-232945,4,120,14400,0,0.0,1.0,120.0,10.501161319444444,10.057,13.015,16.751,0.21105265425660052,0.02737047898338221,4,0.020555555555555556,True,
multipod-adaptive-n4-r02-20260802-232945,4,130,15600,0,0.0,1.0,130.0,9.730788974358974,9.543,11.341,14.472,0.22515306347352276,0.0150564617314931,4,0.09487179487179487,True,
multipod-adaptive-n4-r03-20260802-234035,4,110,13200,0,0.0,1.0,110.0,9.503605151515151,9.192,11.725,14.594,0.18684628636338113,0.008746355685131196,4,0.030606060606060605,True,
multipod-adaptive-n4-r03-20260802-234035,4,120,14400,0,0.0,1.0,120.0,10.123581319444444,9.651,12.901,18.873,0.2291510079384322,0.032460732984293195,4,0.05694444444444444,True,
multipod-adaptive-n4-r03-20260802-234035,4,130,15600,0,0.0,1.0,130.0,9.838034871794873,9.538,11.939,17.473,0.2252685980100587,0.025302530253025306,4,0.03051282051282051,True,
multipod-adaptive-high-n4-r01-20260803-220418,4,140,15706,1094,0.06511904761904762,0.9348809523809524,130.88333333333333,9.960959378581434,9.622,11.926,16.91,0.22870801900038146,0.028511087645195353,4,0.013243346491786578,False,"failures,throughput"
multipod-adaptive-high-n4-r01-20260803-220418,4,150,15730,2270,0.12611111111111112,0.8738888888888889,131.08333333333334,11.120795867768596,10.08,14.453,38.588,0.2510706755792428,0.08454106280193238,4,0.02542911633820725,False,"failures,throughput"
multipod-adaptive-high-n4-r01-20260803-220418,4,160,15697,3503,0.18244791666666665,0.8175520833333333,130.80833333333334,10.755792317003248,10.123,13.397,29.337,0.23284520533672565,0.10273081924577372,4,0.02905013696884755,False,"failures,throughput,throttling"
multipod-adaptive-high-n4-r02-20260803-221526,4,140,15664,1136,0.06761904761904762,0.9323809523809524,130.53333333333333,8.885270939734422,8.605,10.478,14.242,0.21236188437396866,0.012060301507537688,4,0.024514811031664963,False,"failures,throughput"
multipod-adaptive-high-n4-r02-20260803-221526,4,150,15680,2320,0.1288888888888889,0.8711111111111111,130.66666666666666,11.079916517857143,9.837,16.008,37.92,0.23578153185297307,0.06642066420664207,4,0.015306122448979591,False,"failures,throughput"
multipod-adaptive-high-n4-r02-20260803-221526,4,160,15692,3508,0.18270833333333333,0.8172916666666666,130.76666666666668,10.177675439714506,9.241,13.408,31.014,0.23743261376092512,0.07542579075425793,4,0.03313790466479735,False,"failures,throughput"
multipod-adaptive-high-n4-r03-20260803-222614,4,140,15727,1073,0.06386904761904762,0.9361309523809523,131.05833333333334,10.033146245310611,9.718,11.822,16.961,0.23380915536731006,0.024811218985976265,4,0.02034717365041012,False,"failures,throughput"
multipod-adaptive-high-n4-r03-20260803-222614,4,150,15732,2268,0.126,0.874,131.1,10.647665013984236,10.156,12.851,24.638,0.25149091476666063,0.06304347826086958,4,0.053902873124841086,False,"failures,throughput"
multipod-adaptive-high-n4-r03-20260803-222614,4,160,15690,3510,0.1828125,0.8171875,130.75,10.01104378585086,9.154,12.798,29.592,0.22361083147251723,0.0432748538011696,4,0.03620140216698534,False,"failures,throughput"
multipod-adaptive-final-n4-r01-20260803-224123,4,135,15674,526,0.032469135802469136,0.9675308641975309,130.61666666666667,11.626176853387776,10.766,15.196,34.927,0.27487271384685347,0.05769230769230769,4,0.03547275743269108,False,"failures,throughput"
multipod-adaptive-final-n4-r02-20260803-224544,4,135,15721,479,0.0295679012345679,0.9704320987654321,131.00833333333333,10.68433172190064,10.247,12.874,21.993,0.2548615986315349,0.05055611729019211,4,0.06844348323897971,False,"failures,throughput"
multipod-adaptive-final-n4-r03-20260803-224925,4,135,15719,481,0.029691358024691358,0.9703086419753086,130.99166666666667,10.46775488262612,10.065,12.523,20.33,0.24465580574838353,0.03665987780040733,4,0.02188434378777276,False,"failures,throughput"
