trace_id,mutation_id,decision_seq,decision_offset_ms,forecast_target_offset_ms,oracle_rps,forecast_rps,oracle_raw_replicas,forecast_raw_replicas,oracle_commanded_replicas,forecast_commanded_replicas,forecast_action,forecast_scale_down_held
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,75,75000,81000,24.000000,34.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,76,76000,82000,25.000000,35.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,77,77000,83000,26.000000,36.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,78,78000,84000,27.000000,37.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,79,79000,85000,26.000000,36.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,80,80000,86000,25.000000,35.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,81,81000,87000,24.000000,34.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,82,82000,88000,23.000000,33.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,83,83000,89000,24.000000,34.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,84,84000,90000,25.000000,35.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,85,85000,91000,26.000000,36.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,86,86000,92000,27.000000,37.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,87,87000,93000,26.000000,36.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,88,88000,94000,25.000000,35.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,89,89000,95000,24.000000,34.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,90,90000,96000,23.000000,33.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,91,91000,97000,24.000000,34.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,92,92000,98000,25.000000,35.000000,1,2,1,2,none,false
stable-noisy-control-v1,stable-noisy-control-v1__stable-error__10rps,93,93000,99000,26.000000,36.000000,1,2,1,2,none,false
