run_id,source_step,phase,pair_id,condition_side,condition,workload_id,repetition,safety_enabled,mae_rps,rmse_rps,transition_mae_rps,desired_replica_mae,deficient_replica_seconds,request_p99_latency_ms,slo_violation_seconds,excess_replica_seconds
final-p04-a-r04-s0,step15,primary,pair-04-location,a,stable_period_error,gradual-ramp-v1,4,False,1.0126582278481011,2.8462722678592804,0.0,0.1145833333333333,0,30.445349999999863,59,55
final-p05-b-r04-s0,step15,primary,pair-05-shape,b,smoothed,periodic-triangle-v1,4,False,0.2995643137254903,0.726681042587531,0.3386574566666668,0.0,0,26.189229999999963,99,0
final-oracle-spike-r04-s0,step15,reference,reference-oracle,reference,oracle,narrow-spike-v1,4,False,0.0,0.0,0.0,0.0,0,26.05041000000002,5,0
final-p03-b-r04-s0,step15,primary,pair-03-event_presence,b,missed_peak,narrow-spike-v1,4,False,6.0344827586206895,14.532958974404494,17.5,1.0,180,4417.769690000006,58,0
final-p06-b-r05-s0,step15,primary,pair-06-timing_periodic,b,late_event,periodic-triangle-v1,5,False,6.5294117815126045,7.361835586127132,7.667916686666666,0.4583333333333333,165,34.219299999999954,99,165
final-p07-a-r05-s0,step15,primary,pair-07-timing_spike,a,early_event,narrow-spike-v1,5,False,4.022988505747127,11.86611131336418,0.0,0.3333333333333333,30,24.728220000000004,4,30
final-p04-b-r05-s0,step15,primary,pair-04-location,b,transition_period_error,gradual-ramp-v1,5,False,1.0126582278481011,2.8462722678592804,1.6,0.1375,0,29.42547999999992,62,66
final-p06-a-r05-s0,step15,primary,pair-06-timing_periodic,a,early_event,periodic-triangle-v1,5,False,6.5294117815126045,7.361835586127132,7.653333353333332,0.4583333333333333,165,27.62917999999997,105,165
final-oracle-periodic-r05-s0,step15,reference,reference-oracle,reference,oracle,periodic-triangle-v1,5,False,0.0,0.0,0.0,0.0,0,26.03825999999996,96,0
final-p07-b-r05-s0,step15,primary,pair-07-timing_spike,b,late_event,narrow-spike-v1,5,False,4.022988505747127,11.86611131336418,35.0,0.3333333333333333,30,2125.692780000002,19,30
final-oracle-ramp-r05-s0,step15,reference,reference-oracle,reference,oracle,gradual-ramp-v1,5,False,0.0,0.0,0.0,0.0,0,31.697599999999905,52,0
final-p03-b-r05-s0,step15,primary,pair-03-event_presence,b,missed_peak,narrow-spike-v1,5,False,6.0344827586206895,14.532958974404494,17.5,1.0,180,5863.617710000001,58,0
final-p02-a-r05-s0,step15,primary,pair-02-duration,a,extended_peak,sustained-peak-v1,5,False,2.9661016949152543,10.188893920442684,17.5,0.25,0,34.06513,13,90
final-p01-b-r05-s0,step15,primary,pair-01-direction_bias,b,persistent_positive_bias,sustained-peak-v1,5,False,5.0,5.0,5.0,0.0,0,35.17995000000002,10,0
final-p05-b-r05-s0,step15,primary,pair-05-shape,b,smoothed,periodic-triangle-v1,5,False,0.2995643137254903,0.726681042587531,0.3386574566666668,0.0,0,26.68350999999992,95,0
final-oracle-sustain-r05-s0,step15,reference,reference-oracle,reference,oracle,sustained-peak-v1,5,False,0.0,0.0,0.0,0.0,0,31.73536000000001,6,0
final-oracle-spike-r05-s0,step15,reference,reference-oracle,reference,oracle,narrow-spike-v1,5,False,0.0,0.0,0.0,0.0,0,28.21807000000004,4,0
final-p01-a-r05-s0,step15,primary,pair-01-direction_bias,a,persistent_negative_bias,sustained-peak-v1,5,False,5.0,5.0,5.0,0.5861111111111111,211,50.79404,32,0
final-p05-a-r05-s0,step15,primary,pair-05-shape,a,sharpened,periodic-triangle-v1,5,False,0.2995643137254903,0.7266810425875311,0.3386574566666668,0.0,0,27.337089999999986,100,0
final-p03-a-r05-s0,step15,primary,pair-03-event_presence,a,false_peak,narrow-spike-v1,5,False,6.0344827586206895,14.532958974404494,0.0,0.6666666666666666,0,25.35432000000003,11,120
final-p04-a-r05-s0,step15,primary,pair-04-location,a,stable_period_error,gradual-ramp-v1,5,False,1.0126582278481011,2.8462722678592804,0.0,0.1145833333333333,0,28.77494999999993,58,55
